kind,from,to,count,sent
override,leg,legen,1,7612
override,würd's,werden,1,7622
override,würdest,werden,1,7635
override,interviewt,interviewen,1,7800
override,antut,antun,1,7812
override,überprüf,überprüfen,1,7819
override,ergattert,ergattern,1,7849
override,hätt,haben,1,7864
override,habe,haben,1,7887
override,ischt,ischen,1,7937
override,genieß,genießen,1,7970
override,schläfst,schlafen,1,7981
fix,verschwörungsmythe,verschwörungsmythos,2,504
fix,mikroorganisme,mikroorganismus,2,1340
fix,präfixverbe,präfixverb,2,1353
fix,hypothes,hypothese,2,4052
fix,hühn,huhn,2,5775
fix,schrecklichst,schrecklich,2,6303
fix,'s,es,2,6647
fix,feuersbrünst,feuersbrunst,1,307
fix,klausure,klausur,1,321
fix,tochterfirm,tochterfirma,1,329
fix,traumus,trauma,1,476
fix,geschied,scheiden,1,499
fix,klimaschutz-vereinbarunge,klimaschutz-vereinbarung,1,512
fix,anglizisme,anglizismus,1,661
fix,imperie,imperium,1,760
fix,schlafanfälle,schlafanfall,1,818
fix,zyklope,zyklop,1,990
fix,knochenfunde,knochenfund,1,1109
fix,impfrisike,impfrisiko,1,1196
fix,becherzell,becherzelle,1,1319
fix,mikroorganism,mikroorganismus,1,1391
fix,zusammenhäng,zusammenhang,1,1458
fix,zweimächtigst,zweimächtig,1,1518
fix,tatare,tatar,1,1526
fix,ursprüng,ursprung,1,1600
fix,revolutionärst,revolutionär,1,1698
fix,hierarchie-stuf,hierarchie-stufe,1,1709
fix,schokoladeneisproduzente,schokoladeneisproduzent,1,1720
fix,aktuellst,aktuell,1,1756
fix,fieberen,fiebern,1,1868
fix,grund-,grund,1,1913
fix,spd-ministerinne,spd-ministerin,1,2044
fix,beständ,bestand,1,2184
fix,reinzukippe,reinkippen,1,2221
fix,mächt,macht,1,2233
fix,kohlenstoffkett,kohlenstoffkette,1,2372
fix,kampfzon,kampfzone,1,2402
fix,gezeitenkräft,gezeitenkraft,1,2453
fix,häut,haut,1,2468
fix,präsidentinn,präsidentin,1,2499
fix,grundwasserökolog,grundwasserökologe,1,2523
fix,corona-schutzmaßnahm,corona-schutzmaßnahme,1,2573
fix,mense,mensa,1,2612
fix,heizleitunge,heizleitung,1,2693
fix,gedächtnisstörunge,gedächtnisstörung,1,2819
fix,respektabl,respektabel,1,2897
fix,verschiedenst,verschieden,1,2961
fix,klimazon,klimazone,1,2961
fix,bewusset,bewußt,1,3049
fix,trainingsdat,trainingsdatum,1,3058
fix,reinzufalle,reinfallen,1,3133
fix,knallflasch,knallflasche,1,3167
fix,zahln,zahlen,1,3183
fix,dunkelfäll,dunkelfall,1,3634
fix,gesünd,gesünder,1,3682
fix,ellst,ell,1,3728
fix,reibereie,reiberei,1,3821
fix,desinformationskampagn,desinformationskampagne,1,3831
fix,hammerschloss-musket,hammerschloss-muskete,1,3882
fix,mächtigst,mächtig,1,3891
fix,komplexest,komplex,1,3930
fix,wellenläng,wellenlänge,1,4097
fix,zahnhäls,zahnhals,1,4109
fix,kreuzzüg,kreuzzug,1,4124
fix,abrufzahle,abrufzahl,1,4218
fix,säck,sack,1,4276
fix,klavierkläng,klavierklang,1,4352
fix,kriegsverbrech,kriegsverbrecher,1,4357
fix,plattwürm,plattwurm,1,4393
fix,kindergärt,kindergarten,1,4399
fix,aufständ,aufstand,1,4462
fix,paillettenkleider,paillettenkleid,1,4523
fix,wirksamst,wirksam,1,4548
fix,beispielverbe,beispielverb,1,4605
fix,sechster,sechst,1,4717
fix,zwölfter,zwölft,1,4717
fix,aztekum,azteke,1,4860
fix,alliierter,alliierte,1,4914
fix,virophag,virophage,1,4949
fix,sexszen,sexszene,1,5004
fix,laubbäume,laubbaum,1,5050
fix,grösst,groß,1,5224
fix,steuerklass,steuerklasse,1,5374
fix,schachtelsätze,schachtelsatz,1,5379
fix,sicherheitszon,sicherheitszone,1,5389
fix,dna-schäd,dna-schaden,1,5493
fix,nichtwissenschaftlicher,nichtwissenschaftlich,1,5587
fix,nachbarzähne,nachbarzahn,1,5592
fix,rezeptore,rezeptor,1,5655
fix,gesetzentwürf,gesetzentwurf,1,5849
fix,plasmastrahle,plasmastrahl,1,5866
fix,säft,saft,1,5872
fix,schorl,schorle,1,5872
fix,konfitür,konfitüre,1,5872
fix,chiligurk,chiligurke,1,6040
fix,supermärkt,supermarkt,1,6116
fix,parkautomate,parkautomat,1,6155
fix,hämm,hämmern,1,6168
fix,frühlingsroll,frühlingsrolle,1,6222
fix,denkmäl,denkmal,1,6234
fix,hochhäuser,hochhaus,1,6730
fix,umgezog,umziehen,1,7201
fix,roulad,roulade,1,7242
fix,hartkäsesort,hartkäsesorte,1,7341
fix,pizze,pizza,1,7444
fix,themenfelder,themenfeld,1,7556
fix,aufgezog,aufziehen,1,7590
fix,nachrichten-websit,nachrichten-website,1,7638
fix,fischgrät,fischgräte,1,7650
fix,plattenbaut,plattenbau,1,7683
