run_at,quality_version,sentences,steps,steps_with_well_formed,steps_single_candidate,steps_improvable,median_candidates,mean_chosen_score,mean_best_score,mean_example_words,median_example_words,modal_example_words,modal_share
2026-09-09T15:20:13,,93371,3568,3391,134,2696,12.0,0.736,0.973,,,,
2026-09-09T15:23:19,,93371,3568,3391,134,0,12.0,0.973,0.973,,,,
2026-09-09T15:27:53,2,93371,3568,3391,134,0,12.0,0.938,0.938,10.38,10.0,10,0.546
2026-09-09T16:24:56,2,115461,3576,3412,130,0,13.0,0.943,0.943,10.34,10.0,10,0.581
2026-09-09T16:27:12,2,115461,3576,3412,130,0,13.0,0.943,0.943,10.34,10.0,10,0.581
2026-09-09T17:02:25,3,115461,3576,3412,130,0,13.0,0.971,0.971,10.16,10.0,9,0.324
